siren,siret,nom,forme_juridique,code_naf,adresse,code_postal,ville,date_creation
933081879,93308187900019,LA FLEURISTE,SAS,47.76Z,RUE DES TERRES FORTES 37 ROUTE DE LA FERME DU PAVILLON 77600 CHANTELOUP-EN-BRIE,77600,CHANTELOUP-EN-BRIE,2024-09-09
514266675,51426667501642,L'OPTICIEN AFFLELOU,SAS,47.78A,1 B PLACE DE LA DEFENSE 92400 COURBEVOIE,92400,COURBEVOIE,2009-07-31
513122630,51312263000058,OPTICIENS BALOUZAT,SAS,47.78A,46 RUE SADI-CARNOT 77810 THOMERY,77810,THOMERY,2009-06-16
309868701,30986870100231,OPTICIENS MAURICE FRERES,SAS,47.78A,101 ROUTE DU POLYGONE 67100 STRASBOURG,67100,STRASBOURG,1977-01-01
308305960,30830596000012,LES OPTICIENS ASSOCIES,SAS,47.78A,103 RUE BOURBON 08000 CHARLEVILLE-MEZIERES,08000,CHARLEVILLE-MEZIERES,1976-01-01
391316148,39131614800025,MARVIER OPTICIEN,SARL,47.78A,11 BOULEVARD VICTOR HUGO 19200 USSEL,19200,USSEL,1993-04-01
803480185,80348018500047,VOS OPTICIENNES,SARL,47.78A,Z.A. PUJEAU RABE 1 IMPASSE PUJEAU RABE 31410 LAVERNOSE-LACASSE,31410,LAVERNOSE-LACASSE,2014-07-11
499163202,49916320200025,NOTRE OPTICIEN,SARL,47.78A,61 RUE CENTRALE 69360 SAINT-SYMPHORIEN-D'OZON,69360,SAINT-SYMPHORIEN-D'OZON,2007-07-12
403460850,40346085000031,OPTICIENS PIERAUT,SAS,47.78A,107 ROUTE DES ROMAINS 57100 THIONVILLE,57100,THIONVILLE,1995-03-01
410493290,41049329000036,L'OPTICIEN,SAS,47.78A,39 RUE MAL LEFEBVRE 68250 ROUFFACH,68250,ROUFFACH,1997-02-01
529632101,52963210100034,L'OPTICIENNE,SARL,47.78A,16 RUE DE LA CHAPELLE 85170 LE POIRE-SUR-VIE,85170,LE POIRE-SUR-VIE,2011-01-04
522002815,52200281500010,OPTICIENS M&M,SARL,47.78A,8 AVENUE DU 8 MAI 1945 04000 DIGNE-LES-BAINS,04000,DIGNE-LES-BAINS,2010-05-01
808765002,80876500200015,L'OPTICIEN,SAS,47.78A,LAMEILHE 81100 CASTRES,81100,CASTRES,2015-01-01
538340001,53834000100014,L'OPTICIEN DE CASTELNAU,SAS,47.78A,ROUTE DE SAINT RAPHAEL 33480 CASTELNAU-DE-MEDOC,33480,CASTELNAU-DE-MEDOC,2011-11-09
